GAME_ID,HOME_TEAM,AWAY_TEAM,HOME_WIN
0022400770,ORL,CHA,True
0022400779,HOU,PHX,True
0022400782,DAL,GSW,True
0022400783,LAC,MEM,True
0022400769,BOS,SAS,True
0022400781,UTA,LAL,True
0022400765,IND,NYK,False
0022400764,PHI,TOR,False
0022400767,PHX,MEM,False
0022400766,CHI,DET,False
0022400760,MIL,GSW,False
0022400757,WAS,SAS,False
0022400768,LAL,UTA,True
0022400756,ORL,ATL,False
0022400759,MIA,BOS,False
0022400762,DAL,SAC,False
0022400761,OKC,NOP,True
0022400758,BKN,CHA,True
0022400763,DEN,POR,True
0022400755,CLE,MIN,True
0022400752,DET,CHA,True
0022400754,MIL,PHI,True
0022400753,HOU,TOR,True
0022400747,MIN,POR,True
0022400748,NYK,BOS,False
0022400751,LAC,UTA,True
0022400750,SAC,NOP,True
0022400746,MEM,OKC,False
0022400743,ORL,SAS,True
0022400742,LAL,IND,True
0022400744,WAS,ATL,False
0022400745,CHI,GSW,False
0022400749,PHX,DEN,False
0022400741,DAL,HOU,True
0022400740,PHX,UTA,True
0022400734,CHA,SAS,True
0022400739,OKC,TOR,True
0022400738,DET,PHI,True
0022400735,WAS,CLE,False
0022400737,BKN,MIA,True
0022400736,ATL,MIL,True
0022400729,MIN,HOU,True
0022400731,LAL,GSW,True
0022400728,BOS,DAL,False
0022400733,LAC,IND,False
0022400732,POR,SAC,True
0022400730,DEN,ORL,True
0022400727,SAC,ORL,False
0022400726,DEN,NOP,True
0022400725,UTA,GSW,True
0022400717,CHA,MIL,False
0022400722,TOR,MEM,False
0022400723,MIN,CHI,True
0022400721,PHI,MIA,False
0022400719,ATL,SAS,False
0022400724,OKC,PHX,True
0022400720,BKN,WAS,False
0022400718,DET,CLE,False
0022400711,BKN,HOU,True
0022400716,POR,IND,True
0022400710,CLE,BOS,False
0022400713,TOR,NYK,False
0022400712,PHI,DAL,True
0022400714,CHI,MIA,True
0022400715,LAC,LAL,False
0022400705,OKC,MIL,True
0022400706,DEN,NOP,True
0022400704,MIN,SAC,False
0022400708,GSW,ORL,True
0022400707,UTA,IND,False
0022400709,POR,PHX,True
0022400703,MEM,SAS,True
0022400701,DET,ATL,False
0022400702,NYK,HOU,True
0022400700,CHA,WAS,False
0022400699,MIL,MEM,False
0022400696,CLE,DAL,True
0022400697,TOR,LAC,True
0022400698,PHI,BOS,False
0022400695,DET,CHI,True
0022400692,NYK,LAL,False
0022400691,OKC,SAC,True
0022400688,CHA,DEN,False
0022400693,SAS,MIA,False
0022400690,MIN,WAS,False
0022400686,IND,ATL,True
0022400694,POR,PHX,True
0022400687,UTA,ORL,True
0022400689,HOU,BKN,False
0022400682,TOR,CHI,False
0022400683,NOP,BOS,False
0022400681,PHI,DEN,False
0022400685,GSW,PHX,False
0022400684,SAS,MIL,True
0022400679,CHA,LAC,False
0022400680,DET,DAL,True
0022400678,POR,ORL,True
0022400677,UTA,MIN,False
0022400674,WAS,LAL,False
