PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PPG,APG,PER,FULL_NAME
1641723,2024-25,00,1610612737,ATL,21.0,10,0,124.0,18,47,0.383,4,19,0.211,13,18,0.722,5,16,21,17,3,2,8,9,53,5.3,1.7,14.5,Kobe Bufkin
202692,2024-25,00,1610612748,MIA,33.0,49,14,864.0,115,271,0.424,88,207,0.425,38,49,0.776,15,109,124,55,28,7,29,37,356,7.3,1.1,15.7,Alec Burks
1630215,2024-25,00,1610612755,PHI,24.0,60,17,1044.0,203,453,0.448,60,169,0.355,75,91,0.824,25,85,110,220,42,13,80,97,541,9.0,3.7,19.7,Jared Butler
202710,2024-25,00,1610612744,GSW,35.0,55,55,1746.0,301,597,0.504,32,104,0.308,330,392,0.842,125,171,296,298,77,18,74,52,964,17.5,5.4,27.4,Jimmy Butler III
1641824,2024-25,00,1610612741,CHI,20.0,80,31,1511.0,252,555,0.454,96,266,0.361,88,108,0.815,55,223,278,79,29,75,74,128,688,8.6,1.0,16.5,Matas Buzelis
1631288,2024-25,00,1610612740,NOP,26.0,37,0,502.0,68,158,0.43,26,80,0.325,34,50,0.68,27,58,85,22,23,9,22,46,196,5.3,0.6,14.4,Jamal Cain
203484,2024-25,00,1610612753,ORL,32.0,77,77,2279.0,239,544,0.439,113,330,0.342,82,95,0.863,33,136,169,136,99,34,62,136,673,8.7,1.8,11.9,Kentavious Caldwell-Pope
1641739,2024-25,00,1610612757,POR,24.0,78,78,2548.0,328,716,0.458,135,360,0.375,91,126,0.722,173,277,450,175,116,50,109,230,882,11.3,2.2,15.2,Toumani Camara
203991,2024-25,00,1610612737,ATL,30.0,55,41,1176.0,218,390,0.559,0,1,0.0,52,97,0.536,174,295,469,62,34,53,47,106,488,8.9,1.1,22.4,Clint Capela
1642382,2024-25,00,1610612760,OKC,25.0,32,0,246.0,43,97,0.443,22,66,0.333,14,18,0.778,17,37,54,14,5,21,7,22,122,3.8,0.4,21.6,Branden Carlson
1642267,2024-25,00,1610612764,WAS,19.0,82,57,2458.0,300,748,0.401,138,407,0.339,69,85,0.812,33,308,341,364,54,21,141,190,807,9.8,4.4,12.0,Bub Carrington
1642269,2024-25,00,1610612758,SAC,23.0,36,0,396.0,47,127,0.37,18,61,0.295,26,44,0.591,19,57,76,41,21,4,18,39,138,3.8,1.1,13.5,Devin Carter
1628975,2024-25,00,1610612741,CHI,29.0,36,1,321.0,55,146,0.377,35,105,0.333,8,10,0.8,4,35,39,40,13,3,11,15,153,4.2,1.1,16.6,Jevon Carter
1628976,2024-25,00,1610612753,ORL,26.0,68,51,1758.0,226,491,0.46,37,158,0.234,129,175,0.737,151,341,492,134,52,41,77,199,618,9.1,2.0,16.2,Wendell Carter Jr.
1630618,2024-25,00,1610612761,TOR,24.0,4,0,33.0,1,7,0.143,0,3,0.0,1,1,1.0,0,4,4,3,2,0,4,1,3,0.8,0.8,-2.0,D.J. Carton
1627936,2024-25,00,1610612760,OKC,31.0,54,3,1041.0,140,314,0.446,60,170,0.353,42,51,0.824,38,121,159,137,87,30,37,102,382,7.1,2.5,19.4,Alex Caruso
1642264,2024-25,00,1610612759,SAS,20.0,81,47,2162.0,423,988,0.428,95,333,0.285,249,344,0.724,89,208,297,332,74,22,177,164,1190,14.7,4.1,18.2,Stephon Castle
1630658,2024-25,00,1610612761,TOR,24.0,26,4,432.0,46,98,0.469,2,16,0.125,29,38,0.763,53,69,122,28,8,10,23,51,123,4.7,1.1,13.8,Colin Castleton
1630577,2024-25,00,1610612759,SAS,23.0,82,29,1932.0,276,665,0.415,178,480,0.371,85,94,0.904,67,251,318,111,61,35,74,114,815,9.9,1.4,15.7,Julian Champagnie
1630551,2024-25,00,1610612764,WAS,23.0,62,31,1341.0,210,411,0.511,74,193,0.383,50,73,0.685,112,239,351,60,65,39,54,110,544,8.8,1.0,19.5,Justin Champagnie
1642279,2024-25,00,1610612761,TOR,19.0,7,0,32.0,2,5,0.4,0,0,0.0,1,2,0.5,4,4,8,2,0,1,2,5,5,0.7,0.3,6.6,Ulrich Chomche
1642353,2024-25,00,1610612746,LAC,19.0,13,0,59.0,7,24,0.292,2,13,0.154,2,4,0.5,3,9,12,6,5,1,2,4,18,1.4,0.5,11.6,Cam Christie
1631108,2024-25,00,1610612742,DAL,22.0,78,36,2127.0,252,590,0.427,115,314,0.366,130,152,0.855,38,220,258,146,64,31,88,115,749,9.6,1.9,13.0,Max Christie
1630528,2024-25,00,1610612748,MIA,23.0,14,0,69.0,11,31,0.355,2,11,0.182,4,6,0.667,0,9,9,8,5,3,6,2,28,2.0,0.6,12.3,Josh Christopher
1631321,2024-25,00,1610612757,POR,21.0,22,0,114.0,13,30,0.433,3,13,0.231,3,9,0.333,8,13,21,15,2,1,11,10,32,1.5,0.7,9.1,Sidy Cissoko
1641740,2024-25,00,1610612750,MIN,23.0,40,4,522.0,56,120,0.467,22,51,0.431,29,37,0.784,26,27,53,26,36,2,8,61,163,4.1,0.6,14.4,Jaylen Clark
1629634,2024-25,00,1610612763,MEM,28.0,64,18,1207.0,236,380,0.621,1,17,0.059,61,87,0.701,127,199,326,66,52,36,41,145,534,8.3,1.0,22.1,Brandon Clarke
203903,2024-25,00,1610612762,UTA,32.0,37,9,962.0,201,493,0.408,84,232,0.362,114,143,0.797,25,93,118,138,31,9,86,52,600,16.2,3.7,19.3,Jordan Clarkson
1629651,2024-25,00,1610612751,BKN,26.0,70,62,1882.0,320,568,0.563,5,21,0.238,79,154,0.513,157,358,515,157,62,100,87,150,724,10.3,2.2,19.7,Nic Claxton
1642270,2024-25,00,1610612757,POR,21.0,67,37,1324.0,180,334,0.539,14,49,0.286,62,104,0.596,217,310,527,77,34,110,72,189,436,6.5,1.1,20.4,Donovan Clingan
1641730,2024-25,00,1610612751,BKN,20.0,46,20,1042.0,133,372,0.358,87,261,0.333,67,80,0.838,43,138,181,40,24,21,46,105,420,9.1,0.9,11.9,Noah Clowney
1629599,2024-25,00,1610612746,LAC,27.0,72,13,1748.0,240,510,0.471,101,247,0.409,115,129,0.891,32,129,161,77,40,7,45,120,696,9.7,1.1,13.8,Amir Coffey
1642268,2024-25,00,1610612762,UTA,20.0,71,46,1839.0,234,555,0.422,42,169,0.249,105,154,0.682,32,203,235,446,66,16,208,149,615,8.7,6.3,12.9,Isaiah Collier
1628381,2024-25,00,1610612762,UTA,27.0,40,31,1221.0,280,531,0.527,59,148,0.399,139,164,0.848,89,238,327,80,39,40,103,116,758,19.0,2.0,23.9,John Collins
